dir_d,Num_viajes,Hora_llegada_1,Hora_llegada_2,Hora_llegada_3,Hora_llegada_4,Hora_llegada_5,Hora_llegada_6,Hora_llegada_7,Hora_llegada_8,Hora_llegada_9,Hora_llegada_10,Hora_llegada_11,Hora_llegada_12,Hora_llegada_13,Hora_llegada_14,Hora_llegada_15,Hora_llegada_16,Hora_llegada_17,Hora_llegada_18,Hora_llegada_19,Hora_llegada_20,Hora_llegada_21,Hora_llegada_22,Hora_llegada_23,Num_escuelas,Num_hospitales,Num_iglesias,Num_zonas_tipicas,Superficie_km2,Poblacion,Conexiones_fijas_intenet,M2_areas_verdes,N_micro_empresas,N_pequenas_empresas,N_medianas_empresas,N_grandes_empresas
Nunoa,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,400,25,0.0,0.0,16.9,255823,98545,1117854,11118,3217,529,164
Nunoa,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,400,25,0.0,0.0,16.9,255823,98545,1117854,11118,3217,529,164
Nunoa,1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,400,25,0.0,0.0,16.9,255823,98545,1117854,11118,3217,529,164
Nunoa,1643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,400,25,0.0,0.0,16.9,255823,98545,1117854,11118,3217,529,164
Nunoa,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,400,25,0.0,0.0,16.9,255823,98545,1117854,11118,3217,529,164
Nunoa,2444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,400,25,0.0,0.0,16.9,255823,98545,1117854,11118,3217,529,164
Nunoa,3136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,400,25,0.0,0.0,16.9,255823,98545,1117854,11118,3217,529,164
Nunoa,2462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,400,25,0.0,0.0,16.9,255823,98545,1117854,11118,3217,529,164
Nunoa,1461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,400,25,0.0,0.0,16.9,255823,98545,1117854,11118,3217,529,164
Padre Hurtado,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,3,0.0,0.0,80.8,76219,17607,20693,2343,516,52,18
Padre Hurtado,357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,3,0.0,0.0,80.8,76219,17607,20693,2343,516,52,18
Padre Hurtado,366,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,3,0.0,0.0,80.8,76219,17607,20693,2343,516,52,18
Padre Hurtado,231,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,3,0.0,0.0,80.8,76219,17607,20693,2343,516,52,18
Padre Hurtado,156,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,3,0.0,0.0,80.8,76219,17607,20693,2343,516,52,18
Padre Hurtado,153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,3,0.0,0.0,80.8,76219,17607,20693,2343,516,52,18
Padre Hurtado,160,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,3,0.0,0.0,80.8,76219,17607,20693,2343,516,52,18
Padre Hurtado,151,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,3,0.0,0.0,80.8,76219,17607,20693,2343,516,52,18
Padre Hurtado,202,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,3,0.0,0.0,80.8,76219,17607,20693,2343,516,52,18
Padre Hurtado,246,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,3,0.0,0.0,80.8,76219,17607,20693,2343,516,52,18
Padre Hurtado,295,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,170,3,0.0,0.0,80.8,76219,17607,20693,2343,516,52,18
Padre Hurtado,396,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,170,3,0.0,0.0,80.8,76219,17607,20693,2343,516,52,18
Padre Hurtado,614,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,170,3,0.0,0.0,80.8,76219,17607,20693,2343,516,52,18
Padre Hurtado,695,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,170,3,0.0,0.0,80.8,76219,17607,20693,2343,516,52,18
Padre Hurtado,685,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,170,3,0.0,0.0,80.8,76219,17607,20693,2343,516,52,18
Padre Hurtado,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,170,3,0.0,0.0,80.8,76219,17607,20693,2343,516,52,18
Padre Hurtado,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,170,3,0.0,0.0,80.8,76219,17607,20693,2343,516,52,18
Padre Hurtado,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,170,3,0.0,0.0,80.8,76219,17607,20693,2343,516,52,18
Padre Hurtado,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,170,3,0.0,0.0,80.8,76219,17607,20693,2343,516,52,18
Padre Hurtado,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,170,3,0.0,0.0,80.8,76219,17607,20693,2343,516,52,18
Padre Hurtado,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,170,3,0.0,0.0,80.8,76219,17607,20693,2343,516,52,18
Padre Hurtado,1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,170,3,0.0,0.0,80.8,76219,17607,20693,2343,516,52,18
Padre Hurtado,977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,170,3,0.0,0.0,80.8,76219,17607,20693,2343,516,52,18
Padre Hurtado,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,170,3,0.0,0.0,80.8,76219,17607,20693,2343,516,52,18
Paine,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,12,0.0,0.0,820.0,84379,6607,153774,2849,853,106,64
Paine,236,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,12,0.0,0.0,820.0,84379,6607,153774,2849,853,106,64
Paine,262,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,12,0.0,0.0,820.0,84379,6607,153774,2849,853,106,64
Paine,160,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,12,0.0,0.0,820.0,84379,6607,153774,2849,853,106,64
Paine,139,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,12,0.0,0.0,820.0,84379,6607,153774,2849,853,106,64
Paine,111,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,12,0.0,0.0,820.0,84379,6607,153774,2849,853,106,64
Paine,127,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,12,0.0,0.0,820.0,84379,6607,153774,2849,853,106,64
Paine,147,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,12,0.0,0.0,820.0,84379,6607,153774,2849,853,106,64
Paine,157,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,12,0.0,0.0,820.0,84379,6607,153774,2849,853,106,64
Paine,227,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,12,0.0,0.0,820.0,84379,6607,153774,2849,853,106,64
Paine,288,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,195,12,0.0,0.0,820.0,84379,6607,153774,2849,853,106,64
Paine,403,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,195,12,0.0,0.0,820.0,84379,6607,153774,2849,853,106,64
Paine,541,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,195,12,0.0,0.0,820.0,84379,6607,153774,2849,853,106,64
Paine,573,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,195,12,0.0,0.0,820.0,84379,6607,153774,2849,853,106,64
Paine,556,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,195,12,0.0,0.0,820.0,84379,6607,153774,2849,853,106,64
Paine,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,195,12,0.0,0.0,820.0,84379,6607,153774,2849,853,106,64
Paine,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,195,12,0.0,0.0,820.0,84379,6607,153774,2849,853,106,64
Paine,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,195,12,0.0,0.0,820.0,84379,6607,153774,2849,853,106,64
Paine,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,195,12,0.0,0.0,820.0,84379,6607,153774,2849,853,106,64
Paine,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,195,12,0.0,0.0,820.0,84379,6607,153774,2849,853,106,64
Paine,836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,195,12,0.0,0.0,820.0,84379,6607,153774,2849,853,106,64
Paine,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,195,12,0.0,0.0,820.0,84379,6607,153774,2849,853,106,64
Paine,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,195,12,0.0,0.0,820.0,84379,6607,153774,2849,853,106,64
Paine,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,195,12,0.0,0.0,820.0,84379,6607,153774,2849,853,106,64
Pedro Aguirre Cerda,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,11,0.0,0.0,10.0,107409,23271,252734,3113,838,146,39
Pedro Aguirre Cerda,250,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,11,0.0,0.0,10.0,107409,23271,252734,3113,838,146,39
Pedro Aguirre Cerda,411,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,11,0.0,0.0,10.0,107409,23271,252734,3113,838,146,39
Pedro Aguirre Cerda,246,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,11,0.0,0.0,10.0,107409,23271,252734,3113,838,146,39
Pedro Aguirre Cerda,209,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,11,0.0,0.0,10.0,107409,23271,252734,3113,838,146,39
Pedro Aguirre Cerda,183,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,11,0.0,0.0,10.0,107409,23271,252734,3113,838,146,39
Pedro Aguirre Cerda,184,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,11,0.0,0.0,10.0,107409,23271,252734,3113,838,146,39
Pedro Aguirre Cerda,185,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,11,0.0,0.0,10.0,107409,23271,252734,3113,838,146,39
Pedro Aguirre Cerda,213,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,11,0.0,0.0,10.0,107409,23271,252734,3113,838,146,39
Pedro Aguirre Cerda,231,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,11,0.0,0.0,10.0,107409,23271,252734,3113,838,146,39
Pedro Aguirre Cerda,247,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,250,11,0.0,0.0,10.0,107409,23271,252734,3113,838,146,39
