dir_o,dir_d,0
La Granja,Providencia,187
Recoleta,Penalolen,186
Las Condes,San Joaquin,186
Penaflor,Melipilla,186
Cerrillos,Quilicura,186
Pudahuel,La Reina,186
La Granja,Lo Espejo,185
Estacion Central,Lampa,184
Maipu,La Pintana,184
Penalolen,Lo Espejo,184
Padre Hurtado,Isla de Maipo,183
Quinta Normal,Cerrillos,183
Penalolen,Quilicura,183
San Miguel,Conchali,182
Estacion Central,Macul,182
Huechuraba,Quinta Normal,182
El Bosque,Calera de Tango,181
Penalolen,San Ramon,180
Lo Barnechea,Recoleta,180
Cerrillos,Calera de Tango,180
Independencia,Providencia,179
Providencia,Conchali,179
San Bernardo,Las Condes,179
Pudahuel,Independencia,178
La Granja,Pirque,177
Puente Alto,Renca,176
Providencia,La Granja,176
La Cisterna,Conchali,175
Quilicura,San Bernardo,175
Independencia,Nunoa,174
Quilicura,Penalolen,174
Renca,La Cisterna,174
Pudahuel,Macul,173
Quinta Normal,Lampa,172
Macul,Pudahuel,172
San Miguel,Renca,172
Buin,Calera de Tango,172
Lo Prado,La Florida,172
Pudahuel,Pedro Aguirre Cerda,172
Pirque,La Granja,171
Estacion Central,Curacavi,171
Cerro Navia,La Florida,171
Nunoa,Independencia,170
Quilicura,Lo Espejo,170
La Cisterna,Renca,169
Cerrillos,El Bosque,168
Pudahuel,Vitacura,168
Estacion Central,La Granja,168
Pedro Aguirre Cerda,Pudahuel,168
Pedro Aguirre Cerda,El Bosque,167
La Florida,Lo Barnechea,167
El Bosque,Providencia,166
Quilicura,La Granja,165
Recoleta,La Cisterna,165
Huechuraba,La Cisterna,165
Cerro Navia,Recoleta,165
Conchali,San Bernardo,165
La Florida,Padre Hurtado,164
El Bosque,Nunoa,164
Las Condes,El Bosque,163
Macul,Recoleta,162
Nunoa,Renca,160
Independencia,San Miguel,160
La Pintana,San Miguel,160
Cerrillos,Quinta Normal,160
Quilicura,Cerrillos,159
El Bosque,Cerrillos,159
Conchali,Cerro Navia,159
Penalolen,Conchali,158
Lo Espejo,Padre Hurtado,158
San Miguel,La Reina,158
Padre Hurtado,La Florida,157
Lo Espejo,Quilicura,157
La Granja,San Jose de Maipo,156
Buin,Pirque,156
Pedro Aguirre Cerda,Nunoa,156
La Cisterna,Recoleta,155
Isla de Maipo,Maipu,155
Las Condes,Independencia,154
San Jose de Maipo,La Granja,153
San Ramon,Pudahuel,153
Isla de Maipo,Padre Hurtado,153
Puente Alto,Independencia,153
Renca,Puente Alto,152
Puente Alto,Calera de Tango,152
San Miguel,Independencia,152
Calera de Tango,Buin,151
San Ramon,Macul,151
La Florida,Cerro Navia,150
Lo Prado,Puente Alto,150
Maipu,Vitacura,150
San Joaquin,El Bosque,150
Providencia,Independencia,149
Quinta Normal,La Cisterna,149
Conchali,La Granja,149
Puente Alto,Lo Prado,148
San Bernardo,San Jose de Maipo,148
La Granja,Cerrillos,148
Padre Hurtado,La Cisterna,147
La Cisterna,La Reina,147
San Bernardo,Conchali,147
Vitacura,Quilicura,146
San Bernardo,Quilicura,146
La Cisterna,Quinta Normal,146
Cerro Navia,Providencia,146
Lo Prado,Providencia,146
La Pintana,Buin,145
Buin,La Pintana,145
Pedro Aguirre Cerda,San Joaquin,145
Penaflor,Santiago,145
San Bernardo,Recoleta,144
Recoleta,Macul,144
Santiago,Penaflor,144
Lo Prado,Quilicura,143
Cerrillos,La Granja,143
San Ramon,Lo Espejo,143
El Bosque,Las Condes,143
El Bosque,San Joaquin,143
Vitacura,Maipu,142
Quinta Normal,Penalolen,142
El Bosque,Pedro Aguirre Cerda,142
La Granja,Quilicura,142
La Granja,Conchali,142
Padre Hurtado,San Miguel,141
Cerro Navia,Conchali,141
Pirque,Buin,141
Curacavi,Estacion Central,140
Cerrillos,Nunoa,140
San Bernardo,La Reina,139
Quilicura,Macul,138
Lo Espejo,San Ramon,138
Macul,Quilicura,138
Quilicura,Lo Prado,138
Independencia,Las Condes,138
Conchali,Penalolen,138
Penalolen,Quinta Normal,137
Cerrillos,Talagante,137
Vitacura,Estacion Central,137
San Miguel,Padre Hurtado,137
Curacavi,Melipilla,136
Lo Barnechea,Quilicura,136
Calera de Tango,Santiago,136
La Cisterna,Padre Hurtado,135
Buin,La Cisterna,135
Maipu,Colina,134
Pedro Aguirre Cerda,La Granja,134
Colina,Maipu,134
Nunoa,El Bosque,133
Penalolen,La Pintana,133
Quilicura,Vitacura,133
Quinta Normal,El Bosque,133
San Jose de Maipo,Penalolen,132
La Granja,Padre Hurtado,132
Recoleta,La Granja,132
Macul,San Ramon,132
El Bosque,Conchali,132
Renca,Cerrillos,131
Estacion Central,Talagante,131
Estacion Central,La Reina,131
Colina,Independencia,131
Quinta Normal,La Granja,131
Renca,La Granja,130
San Joaquin,Pedro Aguirre Cerda,130
